SE001_PostTx1_diagnosis.txt,0,function (x, ...) 
UseMethod("points"),0
"SE001_PostTx1_diagnosis.txt","0","0","1"
"SE001_PostTx1_diagnosis.txt","0","0","1"
"SE001_PostTx1_diagnosis.txt","0","0","1"
"SE001_PostTx1_diagnosis.txt","0","0"
"SE001_PostTx1_diagnosis.txt","1","21","21"
"SE001_PostTx1_diagnosis.txt","0","0","1"
"SE001_PostTx1_diagnosis.txt","1","21","21"
"SE001_PostTx1_diagnosis.txt","0","0","1"
"SE001_PostTx1_diagnosis.txt","1.05","21","20"
"SE001_PostTx1_diagnosis.txt","0","0","2"
"SE001_PostTx1_diagnosis.txt","0","0","20"
"SE001_PostTx1_diagnosis.txt","0.626173096976017","9260","21343"
"SE001_PostTx1_diagnosis.txt","0","0","20579520"
"SE001_PostTx1_diagnosis.txt","0","0"
"SE001_PostTx1_diagnosis.txt","0","0"
"SE001_PostTx1_diagnosis.txt","0","0","1"
"SE001_PostTx1_diagnosis.txt","0","0","1"
"SE001_PostTx1_diagnosis.txt","0","0","21"
"SE001_PostTx1_diagnosis.txt","0","0","21"
"SE001_PostTx1_diagnosis.txt","0","0"
"SE001_PostTx1_diagnosis.txt","0","0","1"
"SE001_PostTx1_diagnosis.txt","0","0"
"SE001_PostTx1_diagnosis.txt","0","0"
"SE001_PostTx1_diagnosis.txt","0","0"
"SE001_PostTx1_diagnosis.txt","0","0","5"
"SE001_PostTx1_diagnosis.txt","0","0","5"
"SE001_PostTx1_diagnosis.txt","0","0","15"
"SE001_PostTx1_diagnosis.txt","0","0","15"
"SE001_PostTx1_diagnosis.txt","0","0","15"
"SE001_PostTx1_diagnosis.txt","0","0","15"
"SE001_PostTx1_diagnosis.txt","0","0","15"
"SE001_PostTx1_diagnosis.txt","0","0","15"
"SE001_PostTx1_diagnosis.txt","0","0","15"
"SE001_PostTx1_diagnosis.txt","0","0","15"
"SE001_PostTx1_diagnosis.txt","0","0","15"
